fixed code:/home/apr/CodeSearchAndMatch/Defects4J/fixed_bugs_dir/Closure/Closure_93/src/com/google/javascript/jscomp/ProcessClosurePrimitives.java-789-789
similar code:/home/apr/CodeSearchAndMatch/Defects4J/Closure/Closure_93/src/com/google/javascript/jscomp/NameReferenceGraph.java-198-198
similar code:/home/apr/CodeSearchAndMatch/Defects4J/Closure/Closure_93/src/com/google/javascript/jscomp/NameReferenceGraph.java-270-270
similar code:/home/apr/CodeSearchAndMatch/Defects4J/Closure/Closure_93/src/com/google/javascript/jscomp/GoogleCodingConvention.java-68-68
similar code:/home/apr/CodeSearchAndMatch/Defects4J/Closure/Closure_93/src/com/google/javascript/jscomp/NodeUtil.java-1917-1917
similar code:/home/apr/CodeSearchAndMatch/Defects4J/Closure/Closure_93/src/com/google/javascript/jscomp/deps/JsFileLineParser.java-232-232
similar code:/home/apr/CodeSearchAndMatch/Defects4J/Closure/Closure_93/src/com/google/javascript/jscomp/ProcessClosurePrimitives.java-789-789
similar code:/home/apr/CodeSearchAndMatch/Defects4J/Closure/Closure_93/src/com/google/javascript/jscomp/GlobalNamespace.java-729-729
similar code:/home/apr/CodeSearchAndMatch/Defects4J/Closure/Closure_93/src/com/google/javascript/jscomp/ClosureCodingConvention.java-124-124
similar code:/home/apr/CodeSearchAndMatch/Defects4J/Closure/Closure_93/src/com/google/javascript/jscomp/parsing/IRFactory.java-262-262
similar code:/home/apr/CodeSearchAndMatch/Defects4J/Closure/Closure_93/src/com/google/javascript/jscomp/VariableMap.java-155-155
similar code:/home/apr/CodeSearchAndMatch/Defects4J/Closure/Closure_93/src/com/google/javascript/jscomp/Tracer.java-394-394
similar code:/home/apr/CodeSearchAndMatch/Defects4J/Closure/Closure_93/src/com/google/javascript/jscomp/MakeDeclaredNamesUnique.java-263-263
similar code:/home/apr/CodeSearchAndMatch/Defects4J/Closure/Closure_93/src/com/google/javascript/jscomp/NameAnalyzer.java-1208-1208
similar code:/home/apr/CodeSearchAndMatch/Defects4J/Closure/Closure_93/src/com/google/javascript/jscomp/ProcessClosurePrimitives.java-796-797
similar code:/home/apr/CodeSearchAndMatch/Defects4J/Closure/Closure_93/src/com/google/javascript/jscomp/MakeDeclaredNamesUnique.java-519-520
similar code:/home/apr/CodeSearchAndMatch/Defects4J/Closure/Closure_93/src/com/google/javascript/jscomp/NameAnalyzer.java-672-672
similar code:/home/apr/CodeSearchAndMatch/Defects4J/Closure/Closure_93/src/com/google/javascript/rhino/jstype/JSTypeRegistry.java-566-566
similar code:/home/apr/CodeSearchAndMatch/Defects4J/Closure/Closure_93/src/com/google/javascript/jscomp/PeepholeFoldConstants.java-1031-1032
similar code:/home/apr/CodeSearchAndMatch/Defects4J/Closure/Closure_93/src/com/google/javascript/jscomp/CollapseProperties.java-125-125
similar code:/home/apr/CodeSearchAndMatch/Defects4J/Closure/Closure_93/src/com/google/javascript/rhino/Parser.java-2060-2060
similar code:/home/apr/CodeSearchAndMatch/Defects4J/Closure/Closure_93/src/com/google/javascript/jscomp/ProcessClosurePrimitives.java-831-831
similar code:/home/apr/CodeSearchAndMatch/Defects4J/Closure/Closure_93/src/com/google/javascript/jscomp/CollapseProperties.java-117-117
similar code:/home/apr/CodeSearchAndMatch/Defects4J/Closure/Closure_93/src/com/google/javascript/jscomp/NameAnalyzer.java-633-633
similar code:/home/apr/CodeSearchAndMatch/Defects4J/Closure/Closure_93/src/com/google/javascript/jscomp/CollapseProperties.java-164-164
similar code:/home/apr/CodeSearchAndMatch/Defects4J/Closure/Closure_93/src/com/google/javascript/jscomp/ProcessDefines.java-119-119
similar code:/home/apr/CodeSearchAndMatch/Defects4J/Closure/Closure_93/src/com/google/javascript/jscomp/ProcessClosurePrimitives.java-838-840
similar code:/home/apr/CodeSearchAndMatch/Defects4J/Closure/Closure_93/src/com/google/javascript/jscomp/CollapseProperties.java-127-127
similar code:/home/apr/CodeSearchAndMatch/Defects4J/Closure/Closure_93/src/com/google/javascript/jscomp/CollapseProperties.java-128-128
similar code:/home/apr/CodeSearchAndMatch/Defects4J/Closure/Closure_93/src/com/google/javascript/jscomp/ProcessClosurePrimitives.java-867-870
similar code:/home/apr/CodeSearchAndMatch/Defects4J/Closure/Closure_93/src/com/google/javascript/jscomp/ProcessClosurePrimitives.java-130-130
similar code:/home/apr/CodeSearchAndMatch/Defects4J/Closure/Closure_93/src/com/google/javascript/jscomp/CollapseProperties.java-234-234
similar code:/home/apr/CodeSearchAndMatch/Defects4J/Closure/Closure_93/src/com/google/javascript/jscomp/CollapseProperties.java-121-121
similar code:/home/apr/CodeSearchAndMatch/Defects4J/Closure/Closure_93/src/com/google/javascript/jscomp/CheckGlobalNames.java-62-62
similar code:/home/apr/CodeSearchAndMatch/Defects4J/Closure/Closure_93/src/com/google/javascript/jscomp/ProcessClosurePrimitives.java-685-685
similar code:/home/apr/CodeSearchAndMatch/Defects4J/Closure/Closure_93/src/com/google/javascript/jscomp/ProcessClosurePrimitives.java-912-912
similar code:/home/apr/CodeSearchAndMatch/Defects4J/Closure/Closure_93/src/com/google/javascript/jscomp/ProcessDefines.java-111-111
similar code:/home/apr/CodeSearchAndMatch/Defects4J/Closure/Closure_93/src/com/google/javascript/rhino/Parser.java-2063-2063
similar code:/home/apr/CodeSearchAndMatch/Defects4J/Closure/Closure_93/src/com/google/javascript/jscomp/CheckGlobalNames.java-69-71
similar code:/home/apr/CodeSearchAndMatch/Defects4J/Closure/Closure_93/src/com/google/javascript/jscomp/CollapseProperties.java-176-178
similar code:/home/apr/CodeSearchAndMatch/Defects4J/Closure/Closure_93/src/com/google/javascript/jscomp/ProcessDefines.java-116-118
similar code:/home/apr/CodeSearchAndMatch/Defects4J/Closure/Closure_93/src/com/google/javascript/jscomp/CheckGlobalNames.java-73-75
similar code:/home/apr/CodeSearchAndMatch/Defects4J/Closure/Closure_93/src/com/google/javascript/jscomp/CollapseProperties.java-119-119
similar code:/home/apr/CodeSearchAndMatch/Defects4J/Closure/Closure_93/src/com/google/javascript/jscomp/ProcessClosurePrimitives.java-816-820
similar code:/home/apr/CodeSearchAndMatch/Defects4J/Closure/Closure_93/src/com/google/javascript/rhino/Parser.java-2082-2083
similar code:/home/apr/CodeSearchAndMatch/Defects4J/Closure/Closure_93/src/com/google/javascript/rhino/IRFactory.java-602-606
similar code:/home/apr/CodeSearchAndMatch/Defects4J/Closure/Closure_93/src/com/google/javascript/jscomp/ProcessClosurePrimitives.java-138-139
similar code:/home/apr/CodeSearchAndMatch/Defects4J/Closure/Closure_93/src/com/google/javascript/rhino/IRFactory.java-586-591
similar code:/home/apr/CodeSearchAndMatch/Defects4J/Closure/Closure_93/src/com/google/javascript/rhino/IRFactory.java-577-578
similar code:/home/apr/CodeSearchAndMatch/Defects4J/Closure/Closure_93/src/com/google/javascript/rhino/IRFactory.java-592-593
similar code:/home/apr/CodeSearchAndMatch/Defects4J/Closure/Closure_93/src/com/google/javascript/rhino/IRFactory.java-610-614
similar code:/home/apr/CodeSearchAndMatch/Defects4J/Closure/Closure_93/src/com/google/javascript/rhino/IRFactory.java-616-621
similar code:/home/apr/CodeSearchAndMatch/Defects4J/Closure/Closure_93/src/com/google/javascript/rhino/IRFactory.java-560-574
similar code:/home/apr/CodeSearchAndMatch/Defects4J/Closure/Closure_93/src/com/google/javascript/rhino/Parser.java-2094-2095
