fixed code:/home/apr/CodeSearchAndMatch/Defects4J/fixed_bugs_dir/Closure/Closure_98/src/com/google/javascript/jscomp/ReferenceCollectingCallback.java-571-571
similar code:/home/apr/CodeSearchAndMatch/Defects4J/Closure/Closure_98/src/com/google/javascript/jscomp/SemanticReverseAbstractInterpreter.java-141-148
similar code:/home/apr/CodeSearchAndMatch/Defects4J/Closure/Closure_98/src/com/google/javascript/rhino/JSTypeExpression.java-86-86
similar code:/home/apr/CodeSearchAndMatch/Defects4J/Closure/Closure_98/src/com/google/javascript/rhino/JSTypeExpression.java-93-93
similar code:/home/apr/CodeSearchAndMatch/Defects4J/Closure/Closure_98/src/com/google/javascript/jscomp/CheckAccessControls.java-248-251
similar code:/home/apr/CodeSearchAndMatch/Defects4J/Closure/Closure_98/src/com/google/javascript/jscomp/CollapseAnonymousFunctions.java-67-72
similar code:/home/apr/CodeSearchAndMatch/Defects4J/Closure/Closure_98/src/com/google/javascript/jscomp/NameReferenceGraphConstruction.java-137-137
similar code:/home/apr/CodeSearchAndMatch/Defects4J/Closure/Closure_98/src/com/google/javascript/jscomp/TypedScopeCreator.java-707-709
similar code:/home/apr/CodeSearchAndMatch/Defects4J/Closure/Closure_98/src/com/google/javascript/jscomp/FoldConstants.java-993-993
similar code:/home/apr/CodeSearchAndMatch/Defects4J/Closure/Closure_98/src/com/google/javascript/jscomp/FoldConstants.java-998-998
similar code:/home/apr/CodeSearchAndMatch/Defects4J/Closure/Closure_98/src/com/google/javascript/jscomp/AliasExternals.java-530-531
similar code:/home/apr/CodeSearchAndMatch/Defects4J/Closure/Closure_98/src/com/google/javascript/jscomp/TypedScopeCreator.java-1288-1297
similar code:/home/apr/CodeSearchAndMatch/Defects4J/Closure/Closure_98/src/com/google/javascript/jscomp/FunctionToBlockMutator.java-400-405
similar code:/home/apr/CodeSearchAndMatch/Defects4J/Closure/Closure_98/src/com/google/javascript/jscomp/RemoveUnusedVars.java-255-260
