fixed code:/home/apr/CodeSearchAndMatch/Defects4J/fixed_bugs_dir/Lang/Lang_6/src/main/java/org/apache/commons/lang3/text/translate/CharSequenceTranslator.java-95-95
similar code:/home/apr/CodeSearchAndMatch/Defects4J/Lang/Lang_6/src/main/java/org/apache/commons/lang3/text/translate/CharSequenceTranslator.java-95-95
similar code:/home/apr/CodeSearchAndMatch/Defects4J/Lang/Lang_6/src/main/java/org/apache/commons/lang3/text/translate/CharSequenceTranslator.java-87-87
similar code:/home/apr/CodeSearchAndMatch/Defects4J/Lang/Lang_6/src/main/java/org/apache/commons/lang3/text/translate/CodePointTranslator.java-37-37
similar code:/home/apr/CodeSearchAndMatch/Defects4J/Lang/Lang_6/src/main/java/org/apache/commons/lang3/text/translate/CharSequenceTranslator.java-85-85
similar code:/home/apr/CodeSearchAndMatch/Defects4J/Lang/Lang_6/src/main/java/org/apache/commons/lang3/text/ExtendedMessageFormat.java-191-191
similar code:/home/apr/CodeSearchAndMatch/Defects4J/Lang/Lang_6/src/main/java/org/apache/commons/lang3/text/ExtendedMessageFormat.java-435-435
similar code:/home/apr/CodeSearchAndMatch/Defects4J/Lang/Lang_6/src/main/java/org/apache/commons/lang3/text/ExtendedMessageFormat.java-482-482
similar code:/home/apr/CodeSearchAndMatch/Defects4J/Lang/Lang_6/src/main/java/org/apache/commons/lang3/text/StrTokenizer.java-267-267
similar code:/home/apr/CodeSearchAndMatch/Defects4J/Lang/Lang_6/src/main/java/org/apache/commons/lang3/text/StrTokenizer.java-278-278
similar code:/home/apr/CodeSearchAndMatch/Defects4J/Lang/Lang_6/src/main/java/org/apache/commons/lang3/text/StrTokenizer.java-289-289
similar code:/home/apr/CodeSearchAndMatch/Defects4J/Lang/Lang_6/src/main/java/org/apache/commons/lang3/text/StrTokenizer.java-337-337
similar code:/home/apr/CodeSearchAndMatch/Defects4J/Lang/Lang_6/src/main/java/org/apache/commons/lang3/text/StrTokenizer.java-348-348
similar code:/home/apr/CodeSearchAndMatch/Defects4J/Lang/Lang_6/src/main/java/org/apache/commons/lang3/text/StrTokenizer.java-359-359
similar code:/home/apr/CodeSearchAndMatch/Defects4J/Lang/Lang_6/src/main/java/org/apache/commons/lang3/StringEscapeUtils.java-341-341
