fixed code:/home/apr/CodeSearchAndMatch2/Defects4J/fixed_bugs_dir/Math/Math_52/src/main/java/org/apache/commons/math/geometry/euclidean/threed/Rotation.java-344-376
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Math/Math_52/src/main/java/org/apache/commons/math/geometry/euclidean/threed/Rotation.java-344-375
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Math/Math_52/src/main/java/org/apache/commons/math/geometry/euclidean/threed/Rotation.java-316-343
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Math/Math_52/src/main/java/org/apache/commons/math/geometry/euclidean/threed/Rotation.java-407-431
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Math/Math_52/src/main/java/org/apache/commons/math/geometry/euclidean/threed/Line.java-150-160
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Math/Math_52/src/main/java/org/apache/commons/math/geometry/euclidean/threed/Plane.java-306-313
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Math/Math_52/src/main/java/org/apache/commons/math/transform/FastFourierTransformer.java-376-411
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Math/Math_52/src/main/java/org/apache/commons/math/geometry/euclidean/threed/Line.java-139-141
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Math/Math_52/src/main/java/org/apache/commons/math/geometry/euclidean/threed/Rotation.java-175-186
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Math/Math_52/src/main/java/org/apache/commons/math/optimization/direct/CMAESOptimizer.java-1125-1131
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Math/Math_52/src/main/java/org/apache/commons/math/geometry/euclidean/threed/SubPlane.java-75-79
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Math/Math_52/src/main/java/org/apache/commons/math/geometry/euclidean/threed/SubPlane.java-112-116
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Math/Math_52/src/main/java/org/apache/commons/math/random/RandomDataImpl.java-1023-1038
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Math/Math_52/src/main/java/org/apache/commons/math/dfp/BracketingNthOrderBrentSolverDFP.java-421-434
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Math/Math_52/src/main/java/org/apache/commons/math/linear/BlockFieldMatrix.java-422-436
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Math/Math_52/src/main/java/org/apache/commons/math/geometry/euclidean/threed/Line.java-60-65
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Math/Math_52/src/main/java/org/apache/commons/math/stat/descriptive/moment/VectorialCovariance.java-85-100
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Math/Math_52/src/main/java/org/apache/commons/math/fraction/BigFraction.java-199-205
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Math/Math_52/src/main/java/org/apache/commons/math/linear/EigenDecompositionImpl.java-284-303
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Math/Math_52/src/main/java/org/apache/commons/math/transform/FastFourierTransformer.java-302-337
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Math/Math_52/src/main/java/org/apache/commons/math/analysis/solvers/LaguerreSolver.java-279-323
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Math/Math_52/src/main/java/org/apache/commons/math/analysis/solvers/LaguerreSolver.java-279-323
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Math/Math_52/src/main/java/org/apache/commons/math/ode/nonstiff/GraggBulirschStoerIntegrator.java-892-894
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Math/Math_52/src/main/java/org/apache/commons/math/stat/descriptive/MultivariateSummaryStatistics.java-246-253
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Math/Math_52/src/main/java/org/apache/commons/math/distribution/ZipfDistributionImpl.java-144-148
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Math/Math_52/src/main/java/org/apache/commons/math/ode/nonstiff/DormandPrince54StepInterpolator.java-173-178
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Math/Math_52/src/main/java/org/apache/commons/math/ode/nonstiff/DormandPrince853StepInterpolator.java-319-324
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Math/Math_52/src/main/java/org/apache/commons/math/stat/Frequency.java-348-352
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Math/Math_52/src/main/java/org/apache/commons/math/linear/ArrayRealVector.java-518-529
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Math/Math_52/src/main/java/org/apache/commons/math/analysis/function/Logistic.java-68-77
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Math/Math_52/src/main/java/org/apache/commons/math/analysis/interpolation/MicrosphereInterpolatingFunction.java-194-235
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Math/Math_52/src/main/java/org/apache/commons/math/linear/EigenDecompositionImpl.java-163-169
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Math/Math_52/src/main/java/org/apache/commons/math/linear/EigenDecompositionImpl.java-187-194
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Math/Math_52/src/main/java/org/apache/commons/math/linear/EigenDecompositionImpl.java-319-338
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Math/Math_52/src/main/java/org/apache/commons/math/fraction/BigFraction.java-1082-1098
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Math/Math_52/src/main/java/org/apache/commons/math/fraction/BigFraction.java-1082-1098
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Math/Math_52/src/main/java/org/apache/commons/math/fraction/BigFraction.java-1082-1098
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Math/Math_52/src/main/java/org/apache/commons/math/distribution/HypergeometricDistributionImpl.java-280-285
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Math/Math_52/src/main/java/org/apache/commons/math/stat/ranking/NaturalRanking.java-352-361
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Math/Math_52/src/main/java/org/apache/commons/math/ode/nonstiff/RungeKuttaStepInterpolator.java-83-95
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Math/Math_52/src/main/java/org/apache/commons/math/analysis/polynomials/PolynomialFunctionNewtonForm.java-127-129
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Math/Math_52/src/main/java/org/apache/commons/math/distribution/KolmogorovSmirnovDistributionImpl.java-200-216
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Math/Math_52/src/main/java/org/apache/commons/math/stat/descriptive/AbstractStorelessUnivariateStatistic.java-145-150
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Math/Math_52/src/main/java/org/apache/commons/math/optimization/general/LevenbergMarquardtOptimizer.java-397-415
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Math/Math_52/src/main/java/org/apache/commons/math/optimization/direct/CMAESOptimizer.java-1283-1288
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Math/Math_52/src/main/java/org/apache/commons/math/optimization/direct/CMAESOptimizer.java-1301-1306
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Math/Math_52/src/main/java/org/apache/commons/math/util/MathUtils.java-1807-1821
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Math/Math_52/src/main/java/org/apache/commons/math/ode/nonstiff/RungeKuttaStepInterpolator.java-165-170
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Math/Math_52/src/main/java/org/apache/commons/math/linear/BiDiagonalTransformer.java-288-311
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Math/Math_52/src/main/java/org/apache/commons/math/analysis/solvers/BrentSolver.java-152-159
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Math/Math_52/src/main/java/org/apache/commons/math/dfp/DfpMath.java-681-691
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Math/Math_52/src/main/java/org/apache/commons/math/dfp/DfpMath.java-714-725
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Math/Math_52/src/main/java/org/apache/commons/math/random/RandomDataImpl.java-213-228
