fixed code:/home/apr/CodeSearchAndMatch2/Defects4J/fixed_bugs_dir/Math/Math_70/src/main/java/org/apache/commons/math/analysis/solvers/BisectionSolver.java-72-72
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Math/Math_70/src/main/java/org/apache/commons/math/analysis/solvers/NewtonSolver.java-61-61
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Math/Math_70/src/main/java/org/apache/commons/math/analysis/solvers/BrentSolver.java-100-100
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Math/Math_70/src/main/java/org/apache/commons/math/analysis/solvers/BisectionSolver.java-59-59
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Math/Math_70/src/main/java/org/apache/commons/math/analysis/solvers/BisectionSolver.java-66-66
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Math/Math_70/src/main/java/org/apache/commons/math/analysis/solvers/MullerSolver.java-65-65
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Math/Math_70/src/main/java/org/apache/commons/math/analysis/solvers/RiddersSolver.java-64-64
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Math/Math_70/src/main/java/org/apache/commons/math/analysis/solvers/SecantSolver.java-68-68
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Math/Math_70/src/main/java/org/apache/commons/math/analysis/solvers/SecantSolver.java-95-95
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Math/Math_70/src/main/java/org/apache/commons/math/analysis/solvers/NewtonSolver.java-68-68
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Math/Math_70/src/main/java/org/apache/commons/math/analysis/solvers/BrentSolver.java-107-107
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Math/Math_70/src/main/java/org/apache/commons/math/analysis/solvers/MullerSolver.java-72-72
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Math/Math_70/src/main/java/org/apache/commons/math/analysis/solvers/RiddersSolver.java-71-71
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Math/Math_70/src/main/java/org/apache/commons/math/analysis/solvers/SecantSolver.java-75-75
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Math/Math_70/src/main/java/org/apache/commons/math/analysis/solvers/BisectionSolver.java-72-72
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Math/Math_70/src/main/java/org/apache/commons/math/analysis/solvers/MullerSolver.java-103-103
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Math/Math_70/src/main/java/org/apache/commons/math/analysis/solvers/MullerSolver.java-105-105
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Math/Math_70/src/main/java/org/apache/commons/math/analysis/solvers/RiddersSolver.java-101-101
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Math/Math_70/src/main/java/org/apache/commons/math/analysis/solvers/RiddersSolver.java-103-103
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Math/Math_70/src/main/java/org/apache/commons/math/analysis/solvers/LaguerreSolver.java-99-99
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Math/Math_70/src/main/java/org/apache/commons/math/analysis/solvers/LaguerreSolver.java-143-143
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Math/Math_70/src/main/java/org/apache/commons/math/analysis/solvers/LaguerreSolver.java-145-145
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Math/Math_70/src/main/java/org/apache/commons/math/analysis/solvers/LaguerreSolver.java-106-106
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Math/Math_70/src/main/java/org/apache/commons/math/ode/events/EventState.java-229-229
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Math/Math_70/src/main/java/org/apache/commons/math/analysis/solvers/NewtonSolver.java-86-86
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Math/Math_70/src/main/java/org/apache/commons/math/analysis/solvers/BrentSolver.java-157-157
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Math/Math_70/src/main/java/org/apache/commons/math/analysis/solvers/BrentSolver.java-169-169
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Math/Math_70/src/main/java/org/apache/commons/math/analysis/solvers/UnivariateRealSolverUtils.java-85-85
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Math/Math_70/src/main/java/org/apache/commons/math/analysis/solvers/MullerSolver.java-249-249
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Math/Math_70/src/main/java/org/apache/commons/math/analysis/integration/SimpsonIntegrator.java-61-61
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Math/Math_70/src/main/java/org/apache/commons/math/analysis/integration/RombergIntegrator.java-62-62
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Math/Math_70/src/main/java/org/apache/commons/math/analysis/integration/TrapezoidIntegrator.java-102-102
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Math/Math_70/src/main/java/org/apache/commons/math/analysis/integration/LegendreGaussIntegrator.java-159-159
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Math/Math_70/src/main/java/org/apache/commons/math/linear/AbstractRealMatrix.java-945-945
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Math/Math_70/src/main/java/org/apache/commons/math/linear/AbstractRealMatrix.java-955-955
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Math/Math_70/src/main/java/org/apache/commons/math/analysis/solvers/UnivariateRealSolverUtils.java-59-59
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Math/Math_70/src/main/java/org/apache/commons/math/linear/LUDecompositionImpl.java-307-307
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Math/Math_70/src/main/java/org/apache/commons/math/linear/QRDecompositionImpl.java-338-338
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Math/Math_70/src/main/java/org/apache/commons/math/linear/FieldLUDecompositionImpl.java-306-306
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Math/Math_70/src/main/java/org/apache/commons/math/linear/FieldLUDecompositionImpl.java-428-428
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Math/Math_70/src/main/java/org/apache/commons/math/linear/CholeskyDecompositionImpl.java-248-248
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Math/Math_70/src/main/java/org/apache/commons/math/linear/BigMatrixImpl.java-1130-1130
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Math/Math_70/src/main/java/org/apache/commons/math/optimization/MultiStartUnivariateRealOptimizer.java-315-315
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Math/Math_70/src/main/java/org/apache/commons/math/optimization/univariate/BrentOptimizer.java-50-50
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Math/Math_70/src/main/java/org/apache/commons/math/transform/FastCosineTransformer.java-208-208
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Math/Math_70/src/main/java/org/apache/commons/math/transform/FastSineTransformer.java-203-203
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Math/Math_70/src/main/java/org/apache/commons/math/transform/FastHadamardTransformer.java-46-46
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Math/Math_70/src/main/java/org/apache/commons/math/optimization/univariate/BrentOptimizer.java-58-58
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Math/Math_70/src/main/java/org/apache/commons/math/analysis/solvers/BrentSolver.java-136-138
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Math/Math_70/src/main/java/org/apache/commons/math/linear/LUDecompositionImpl.java-420-420
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Math/Math_70/src/main/java/org/apache/commons/math/linear/QRDecompositionImpl.java-446-446
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Math/Math_70/src/main/java/org/apache/commons/math/linear/CholeskyDecompositionImpl.java-349-349
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Math/Math_70/src/main/java/org/apache/commons/math/stat/regression/OLSMultipleLinearRegression.java-142-142
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Math/Math_70/src/main/java/org/apache/commons/math/analysis/solvers/MullerSolver.java-96-96
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Math/Math_70/src/main/java/org/apache/commons/math/analysis/solvers/MullerSolver.java-97-97
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Math/Math_70/src/main/java/org/apache/commons/math/analysis/solvers/RiddersSolver.java-94-94
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Math/Math_70/src/main/java/org/apache/commons/math/analysis/solvers/RiddersSolver.java-95-95
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Math/Math_70/src/main/java/org/apache/commons/math/analysis/solvers/LaguerreSolver.java-130-132
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Math/Math_70/src/main/java/org/apache/commons/math/analysis/solvers/LaguerreSolver.java-133-135
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Math/Math_70/src/main/java/org/apache/commons/math/analysis/solvers/LaguerreSolver.java-179-179
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Math/Math_70/src/main/java/org/apache/commons/math/analysis/solvers/LaguerreSolver.java-180-180
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Math/Math_70/src/main/java/org/apache/commons/math/analysis/solvers/BrentSolver.java-172-173
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Math/Math_70/src/main/java/org/apache/commons/math/analysis/solvers/BrentSolver.java-219-220
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Math/Math_70/src/main/java/org/apache/commons/math/analysis/solvers/SecantSolver.java-129-132
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Math/Math_70/src/main/java/org/apache/commons/math/stat/descriptive/AggregateSummaryStatistics.java-340-340
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Math/Math_70/src/main/java/org/apache/commons/math/analysis/solvers/LaguerreSolver.java-190-193
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Math/Math_70/src/main/java/org/apache/commons/math/analysis/solvers/UnivariateRealSolverUtils.java-232-234
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Math/Math_70/src/main/java/org/apache/commons/math/analysis/solvers/LaguerreSolver.java-174-176
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Math/Math_70/src/main/java/org/apache/commons/math/optimization/univariate/AbstractUnivariateRealOptimizer.java-140-140
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Math/Math_70/src/main/java/org/apache/commons/math/optimization/direct/DirectSearchOptimizer.java-354-354
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Math/Math_70/src/main/java/org/apache/commons/math/complex/ComplexFormat.java-233-233
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Math/Math_70/src/main/java/org/apache/commons/math/transform/FastCosineTransformer.java-62-62
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Math/Math_70/src/main/java/org/apache/commons/math/transform/FastCosineTransformer.java-185-185
