fixed code:/home/apr/CodeSearchAndMatch2/Defects4J/fixed_bugs_dir/Math/Math_76/src/main/java/org/apache/commons/math/linear/SingularValueDecompositionImpl.java-179-179
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Math/Math_76/src/main/java/org/apache/commons/math/linear/SingularValueDecompositionImpl.java-174-174
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Math/Math_76/src/main/java/org/apache/commons/math/linear/SingularValueDecompositionImpl.java-259-259
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Math/Math_76/src/main/java/org/apache/commons/math/optimization/general/LevenbergMarquardtOptimizer.java-281-281
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Math/Math_76/src/main/java/org/apache/commons/math/optimization/general/LevenbergMarquardtOptimizer.java-307-307
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Math/Math_76/src/main/java/org/apache/commons/math/optimization/general/LevenbergMarquardtOptimizer.java-347-347
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Math/Math_76/src/main/java/org/apache/commons/math/optimization/general/LevenbergMarquardtOptimizer.java-395-395
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Math/Math_76/src/main/java/org/apache/commons/math/optimization/general/LevenbergMarquardtOptimizer.java-520-520
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Math/Math_76/src/main/java/org/apache/commons/math/optimization/general/LevenbergMarquardtOptimizer.java-645-645
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Math/Math_76/src/main/java/org/apache/commons/math/optimization/direct/DirectSearchOptimizer.java-197-197
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Math/Math_76/src/main/java/org/apache/commons/math/estimation/LevenbergMarquardtEstimator.java-315-315
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Math/Math_76/src/main/java/org/apache/commons/math/estimation/LevenbergMarquardtEstimator.java-342-342
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Math/Math_76/src/main/java/org/apache/commons/math/estimation/LevenbergMarquardtEstimator.java-382-382
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Math/Math_76/src/main/java/org/apache/commons/math/estimation/LevenbergMarquardtEstimator.java-432-432
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Math/Math_76/src/main/java/org/apache/commons/math/estimation/LevenbergMarquardtEstimator.java-561-561
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Math/Math_76/src/main/java/org/apache/commons/math/estimation/LevenbergMarquardtEstimator.java-688-688
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Math/Math_76/src/main/java/org/apache/commons/math/linear/QRDecompositionImpl.java-418-418
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Math/Math_76/src/main/java/org/apache/commons/math/linear/QRDecompositionImpl.java-426-426
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Math/Math_76/src/main/java/org/apache/commons/math/linear/CholeskyDecompositionImpl.java-116-116
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Math/Math_76/src/main/java/org/apache/commons/math/linear/CholeskyDecompositionImpl.java-117-117
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Math/Math_76/src/main/java/org/apache/commons/math/linear/CholeskyDecompositionImpl.java-225-225
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Math/Math_76/src/main/java/org/apache/commons/math/linear/CholeskyDecompositionImpl.java-264-264
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Math/Math_76/src/main/java/org/apache/commons/math/linear/CholeskyDecompositionImpl.java-312-312
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Math/Math_76/src/main/java/org/apache/commons/math/linear/CholeskyDecompositionImpl.java-313-313
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Math/Math_76/src/main/java/org/apache/commons/math/linear/CholeskyDecompositionImpl.java-314-314
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Math/Math_76/src/main/java/org/apache/commons/math/linear/CholeskyDecompositionImpl.java-330-330
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Math/Math_76/src/main/java/org/apache/commons/math/linear/TriDiagonalTransformer.java-213-213
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Math/Math_76/src/main/java/org/apache/commons/math/linear/BiDiagonalTransformer.java-290-290
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Math/Math_76/src/main/java/org/apache/commons/math/linear/BiDiagonalTransformer.java-329-329
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Math/Math_76/src/main/java/org/apache/commons/math/ode/MultistepIntegrator.java-333-333
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Math/Math_76/src/main/java/org/apache/commons/math/ode/MultistepIntegrator.java-342-342
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Math/Math_76/src/main/java/org/apache/commons/math/ode/sampling/NordsieckStepInterpolator.java-155-155
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Math/Math_76/src/main/java/org/apache/commons/math/ode/sampling/NordsieckStepInterpolator.java-203-203
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Math/Math_76/src/main/java/org/apache/commons/math/optimization/MultiStartUnivariateRealOptimizer.java-275-275
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Math/Math_76/src/main/java/org/apache/commons/math/optimization/MultiStartUnivariateRealOptimizer.java-276-276
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Math/Math_76/src/main/java/org/apache/commons/math/optimization/MultiStartUnivariateRealOptimizer.java-295-295
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Math/Math_76/src/main/java/org/apache/commons/math/optimization/MultiStartUnivariateRealOptimizer.java-296-296
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Math/Math_76/src/main/java/org/apache/commons/math/optimization/fitting/HarmonicCoefficientsGuesser.java-169-169
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Math/Math_76/src/main/java/org/apache/commons/math/optimization/fitting/HarmonicCoefficientsGuesser.java-183-183
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Math/Math_76/src/main/java/org/apache/commons/math/optimization/general/AbstractLeastSquaresOptimizer.java-187-187
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Math/Math_76/src/main/java/org/apache/commons/math/optimization/general/LevenbergMarquardtOptimizer.java-650-650
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Math/Math_76/src/main/java/org/apache/commons/math/optimization/direct/NelderMead.java-99-99
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Math/Math_76/src/main/java/org/apache/commons/math/estimation/LevenbergMarquardtEstimator.java-693-693
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Math/Math_76/src/main/java/org/apache/commons/math/analysis/solvers/LaguerreSolver.java-284-284
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Math/Math_76/src/main/java/org/apache/commons/math/analysis/solvers/LaguerreSolver.java-285-285
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Math/Math_76/src/main/java/org/apache/commons/math/linear/LUDecompositionImpl.java-403-403
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Math/Math_76/src/main/java/org/apache/commons/math/linear/BlockRealMatrix.java-677-677
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Math/Math_76/src/main/java/org/apache/commons/math/linear/SingularValueDecompositionImpl.java-378-378
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Math/Math_76/src/main/java/org/apache/commons/math/linear/EigenDecompositionImpl.java-537-537
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Math/Math_76/src/main/java/org/apache/commons/math/linear/EigenDecompositionImpl.java-681-681
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Math/Math_76/src/main/java/org/apache/commons/math/linear/EigenDecompositionImpl.java-958-958
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Math/Math_76/src/main/java/org/apache/commons/math/linear/EigenDecompositionImpl.java-1139-1139
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Math/Math_76/src/main/java/org/apache/commons/math/util/OpenIntToDoubleHashMap.java-197-197
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Math/Math_76/src/main/java/org/apache/commons/math/util/OpenIntToDoubleHashMap.java-227-227
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Math/Math_76/src/main/java/org/apache/commons/math/util/OpenIntToDoubleHashMap.java-288-288
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Math/Math_76/src/main/java/org/apache/commons/math/util/OpenIntToDoubleHashMap.java-371-371
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Math/Math_76/src/main/java/org/apache/commons/math/util/OpenIntToFieldHashMap.java-209-209
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Math/Math_76/src/main/java/org/apache/commons/math/util/OpenIntToFieldHashMap.java-239-239
