fixed code:/home/apr/CodeSearchAndMatch2/Defects4J/fixed_bugs_dir/Math/Math_78/src/main/java/org/apache/commons/math/ode/events/EventState.java-207-207
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Math/Math_78/src/main/java/org/apache/commons/math/stat/ranking/NaturalRanking.java-213-213
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Math/Math_78/src/main/java/org/apache/commons/math/stat/ranking/NaturalRanking.java-361-361
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Math/Math_78/src/main/java/org/apache/commons/math/optimization/fitting/HarmonicFitter.java-104-104
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Math/Math_78/src/main/java/org/apache/commons/math/optimization/fitting/PolynomialFitter.java-73-73
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Math/Math_78/src/main/java/org/apache/commons/math/random/RandomDataImpl.java-243-243
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Math/Math_78/src/main/java/org/apache/commons/math/ode/ContinuousOutputModel.java-142-143
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Math/Math_78/src/main/java/org/apache/commons/math/geometry/Vector3D.java-286-286
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Math/Math_78/src/main/java/org/apache/commons/math/geometry/Vector3D.java-310-310
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Math/Math_78/src/main/java/org/apache/commons/math/geometry/Vector3D.java-340-340
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Math/Math_78/src/main/java/org/apache/commons/math/geometry/Rotation.java-159-159
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Math/Math_78/src/main/java/org/apache/commons/math/geometry/Rotation.java-221-223
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Math/Math_78/src/main/java/org/apache/commons/math/geometry/Rotation.java-303-303
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Math/Math_78/src/main/java/org/apache/commons/math/geometry/Rotation.java-434-434
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Math/Math_78/src/main/java/org/apache/commons/math/stat/descriptive/moment/Variance.java-215-215
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Math/Math_78/src/main/java/org/apache/commons/math/stat/descriptive/moment/Kurtosis.java-97-98
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Math/Math_78/src/main/java/org/apache/commons/math/stat/descriptive/moment/Kurtosis.java-131-132
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Math/Math_78/src/main/java/org/apache/commons/math/stat/descriptive/AbstractUnivariateStatistic.java-80-80
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Math/Math_78/src/main/java/org/apache/commons/math/stat/descriptive/AbstractUnivariateStatistic.java-94-95
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Math/Math_78/src/main/java/org/apache/commons/math/stat/descriptive/AbstractUnivariateStatistic.java-141-141
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Math/Math_78/src/main/java/org/apache/commons/math/stat/descriptive/AbstractUnivariateStatistic.java-145-146
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Math/Math_78/src/main/java/org/apache/commons/math/stat/descriptive/AbstractUnivariateStatistic.java-169-170
