fixed code:/home/apr/CodeSearchAndMatch2/Defects4J/fixed_bugs_dir/Math/Math_8/src/main/java/org/apache/commons/math3/distribution/DiscreteDistribution.java-187-187
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Math/Math_8/src/main/java/org/apache/commons/math3/distribution/AbstractIntegerDistribution.java-206-206
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Math/Math_8/src/main/java/org/apache/commons/math3/distribution/AbstractRealDistribution.java-273-273
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Math/Math_8/src/main/java/org/apache/commons/math3/distribution/AbstractMultivariateRealDistribution.java-65-65
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Math/Math_8/src/main/java/org/apache/commons/math3/distribution/DiscreteDistribution.java-187-187
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Math/Math_8/src/main/java/org/apache/commons/math3/util/FastMathCalc.java-614-614
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Math/Math_8/src/main/java/org/apache/commons/math3/util/FastMathCalc.java-627-627
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Math/Math_8/src/main/java/org/apache/commons/math3/util/FastMathCalc.java-631-631
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Math/Math_8/src/main/java/org/apache/commons/math3/ode/nonstiff/DormandPrince853StepInterpolator.java-472-472
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Math/Math_8/src/main/java/org/apache/commons/math3/ode/nonstiff/RungeKuttaStepInterpolator.java-153-153
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Math/Math_8/src/main/java/org/apache/commons/math3/ode/nonstiff/GraggBulirschStoerStepInterpolator.java-369-369
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Math/Math_8/src/main/java/org/apache/commons/math3/ode/sampling/NordsieckStepInterpolator.java-227-227
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Math/Math_8/src/main/java/org/apache/commons/math3/stat/ranking/NaturalRanking.java-414-414
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Math/Math_8/src/main/java/org/apache/commons/math3/linear/OpenMapRealMatrix.java-122-122
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Math/Math_8/src/main/java/org/apache/commons/math3/linear/OpenMapRealMatrix.java-157-157
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Math/Math_8/src/main/java/org/apache/commons/math3/util/FastMath.java-3696-3696
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Math/Math_8/src/main/java/org/apache/commons/math3/util/FastMath.java-3697-3697
