fixed code:/home/apr/CodeSearchAndMatch2/Defects4J/fixed_bugs_dir/Mockito/Mockito_25/src/org/mockito/internal/stubbing/defaultanswers/ReturnsDeepStubs.java-88-91
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Mockito/Mockito_25/src/org/mockito/internal/configuration/MockAnnotationProcessor.java-19-21
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Mockito/Mockito_25/src/org/mockito/Mockito.java-1120-1120
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Mockito/Mockito_25/src/org/mockito/Mockito.java-1216-1216
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Mockito/Mockito_25/src/org/mockito/Mockito.java-1139-1141
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Mockito/Mockito_25/src/org/mockito/Mockito.java-1193-1193
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Mockito/Mockito_25/src/org/mockito/Mockito.java-1322-1324
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Mockito/Mockito_25/src/org/mockito/internal/handler/MockHandlerImpl.java-123-125
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Mockito/Mockito_25/src/org/mockito/internal/stubbing/defaultanswers/ReturnsDeepStubs.java-96-96
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Mockito/Mockito_25/src/org/mockito/internal/stubbing/InvocationContainerImpl.java-137-139
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Mockito/Mockito_25/src/org/mockito/internal/invocation/ArgumentsComparator.java-22-24
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Mockito/Mockito_25/src/org/mockito/internal/verification/argumentmatching/ArgumentMatchingTool.java-21-23
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Mockito/Mockito_25/src/org/mockito/internal/creation/MethodInterceptorFilter.java-63-64
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Mockito/Mockito_25/src/org/mockito/internal/util/collections/HashCodeAndEqualsSafeSet.java-110-111
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Mockito/Mockito_25/src/org/mockito/internal/configuration/MockAnnotationProcessor.java-33-33
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Mockito/Mockito_25/src/org/mockito/internal/util/reflection/FieldInitializer.java-259-261
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Mockito/Mockito_25/src/org/mockito/internal/creation/ClassNameFinder.java-11-15
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Mockito/Mockito_25/src/org/mockito/internal/util/ObjectMethodsGuru.java-31-31
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Mockito/Mockito_25/src/org/mockito/internal/creation/MockSettingsImpl.java-37-39
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Mockito/Mockito_25/src/org/mockito/internal/creation/MockSettingsImpl.java-107-109
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Mockito/Mockito_25/src/org/mockito/internal/creation/MethodInterceptorFilter.java-69-73
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Mockito/Mockito_25/src/org/mockito/internal/util/ObjectMethodsGuru.java-22-23
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Mockito/Mockito_25/src/org/mockito/exceptions/Reporter.java-712-714
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Mockito/Mockito_25/src/org/mockito/internal/invocation/ArgumentsComparator.java-44-46
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Mockito/Mockito_25/src/org/mockito/internal/matchers/apachecommons/EqualsBuilder.java-538-541
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Mockito/Mockito_25/src/org/mockito/internal/matchers/apachecommons/EqualsBuilder.java-569-572
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Mockito/Mockito_25/src/org/mockito/internal/matchers/apachecommons/EqualsBuilder.java-600-603
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Mockito/Mockito_25/src/org/mockito/internal/matchers/apachecommons/EqualsBuilder.java-631-634
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Mockito/Mockito_25/src/org/mockito/internal/matchers/apachecommons/EqualsBuilder.java-662-665
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Mockito/Mockito_25/src/org/mockito/internal/matchers/apachecommons/EqualsBuilder.java-693-696
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Mockito/Mockito_25/src/org/mockito/internal/matchers/apachecommons/EqualsBuilder.java-724-727
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Mockito/Mockito_25/src/org/mockito/internal/matchers/apachecommons/EqualsBuilder.java-755-758
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Mockito/Mockito_25/src/org/mockito/internal/matchers/apachecommons/EqualsBuilder.java-786-789
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Mockito/Mockito_25/src/org/mockito/internal/util/ObjectMethodsGuru.java-27-27
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Mockito/Mockito_25/src/org/mockito/Mockito.java-1243-1243
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Mockito/Mockito_25/src/org/mockito/internal/invocation/InvocationMatcher.java-142-145
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Mockito/Mockito_25/src/org/mockito/internal/stubbing/answers/ReturnsArgumentAt.java-61-61
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Mockito/Mockito_25/src/org/mockito/internal/stubbing/answers/ReturnsArgumentAt.java-89-89
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Mockito/Mockito_25/src/org/mockito/internal/MockitoCore.java-120-122
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Mockito/Mockito_25/src/org/mockito/internal/MockitoCore.java-126-128
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Mockito/Mockito_25/src/org/mockito/exceptions/Reporter.java-717-725
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Mockito/Mockito_25/src/org/mockito/internal/invocation/InvocationMatcher.java-123-129
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Mockito/Mockito_25/src/org/mockito/internal/util/Decamelizer.java-33-38
