fixed code:/home/apr/CodeSearchAndMatch2/Defects4J/fixed_bugs_dir/Mockito/Mockito_4/src/org/mockito/exceptions/Reporter.java-421-427
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Mockito/Mockito_4/src/org/mockito/exceptions/Reporter.java-421-427
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Mockito/Mockito_4/src/org/mockito/exceptions/Reporter.java-431-436
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Mockito/Mockito_4/src/org/mockito/exceptions/Reporter.java-661-663
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Mockito/Mockito_4/src/org/mockito/internal/util/reflection/FieldInitializer.java-187-187
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Mockito/Mockito_4/src/org/mockito/internal/util/reflection/FieldInitializer.java-189-189
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Mockito/Mockito_4/src/org/mockito/internal/util/reflection/FieldInitializer.java-264-264
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Mockito/Mockito_4/src/org/mockito/internal/creation/cglib/ClassImposterizer.java-149-149
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Mockito/Mockito_4/src/org/mockito/internal/InOrderImpl.java-48-48
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Mockito/Mockito_4/src/org/mockito/internal/util/reflection/GenericMetadataSupport.java-213-213
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Mockito/Mockito_4/src/org/mockito/internal/util/reflection/GenericMetadataSupport.java-237-237
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Mockito/Mockito_4/src/org/mockito/internal/util/reflection/FieldInitializer.java-96-96
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Mockito/Mockito_4/src/org/mockito/internal/util/reflection/FieldInitializer.java-102-102
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Mockito/Mockito_4/src/org/mockito/internal/util/reflection/FieldInitializer.java-108-108
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Mockito/Mockito_4/src/org/mockito/internal/util/reflection/FieldInitializer.java-114-114
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Mockito/Mockito_4/src/org/mockito/internal/MockitoCore.java-53-55
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Mockito/Mockito_4/src/org/mockito/exceptions/Reporter.java-494-494
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Mockito/Mockito_4/src/org/mockito/internal/creation/instance/ConstructorInstantiator.java-68-71
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Mockito/Mockito_4/src/org/mockito/exceptions/Reporter.java-341-350
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Mockito/Mockito_4/src/org/mockito/exceptions/Reporter.java-371-378
